schlag_nr,endzug_start,auslage,endzug_end,vorrolle_frames,antrieb_frames,dauer_s
374,11232,11250,11262,18,12,1.2000173417267985
375,11262,11279,11291,17,12,1.1600167636692387
376,11291,11309,11321,18,12,1.2000173417267985
377,11321,11339,11351,18,12,1.2000173417267985
378,11351,11369,11380,18,11,1.1600167636692387
379,11380,11399,11410,19,11,1.2000173417267985
380,11410,11429,11440,19,11,1.2000173417267985
381,11440,11459,11471,19,12,1.2400179197843584
382,11471,11489,11501,18,12,1.2000173417267985
383,11501,11519,11531,18,12,1.2000173417267985
384,11531,11549,11561,18,12,1.2000173417267985
385,11561,11580,11591,19,11,1.2000173417267985
386,11591,11612,11623,21,11,1.2800184978419185
387,11623,11643,11654,20,11,1.2400179197843584
388,11654,11673,11684,19,11,1.2000173417267985
389,11684,11704,11715,20,11,1.2400179197843584
390,11715,11735,11747,20,12,1.2800184978419185
391,11747,11766,11777,19,11,1.2000173417267985
392,11777,11795,11806,18,11,1.1600167636692387
393,11806,11824,11836,18,12,1.2000173417267985
394,11836,11854,11866,18,12,1.2000173417267985
395,11866,11884,11895,18,11,1.1600167636692387
396,11895,11915,11926,20,11,1.2400179197843584
397,11926,11944,11955,18,11,1.1600167636692387
398,11955,11973,11985,18,12,1.2000173417267985
399,11985,12003,12014,18,11,1.1600167636692387
400,12014,12033,12044,19,11,1.2000173417267985
401,12044,12063,12074,19,11,1.2000173417267985
402,12074,12093,12104,19,11,1.2000173417267985
403,12104,12123,12134,19,11,1.2000173417267985
404,12134,12153,12164,19,11,1.2000173417267985
405,12164,12183,12194,19,11,1.2000173417267985
406,12194,12213,12224,19,11,1.2000173417267985
407,12224,12244,12255,20,11,1.2400179197843584
408,12255,12274,12286,19,12,1.2400179197843584
409,12286,12304,12316,18,12,1.2000173417267985
410,12316,12335,12346,19,11,1.2000173417267985
411,12346,12365,12376,19,11,1.2000173417267985
412,12376,12395,12406,19,11,1.2000173417267985
413,12406,12426,12437,20,11,1.2400179197843584
